country,Energy poverty alleviation,Natural gas transmission,natural gas prices,Renewable energy sources,EU energy poverty project,New energy project,"price, increase, cost",natural gas industry,Renewable energy poverty,Energy poverty alleviation,Natural gas transmission,natural gas prices,Renewable energy sources,EU energy poverty project,New energy project,"price, increase, cost",natural gas industry,Renewable energy poverty,Energy poverty alleviation,Natural gas transmission,natural gas prices,Renewable energy sources,EU energy poverty project,New energy project,"price, increase, cost",natural gas industry,Renewable energy poverty,c1,c2,u1,u2
Austria,0.1159000024199485,0.0659999996423721,0.0856000036001205,0.1039000004529953,0.0810000002384185,0.0802000015974044,0.1333000063896179,0.0794999971985817,0.2547999918460846,0.2467000037431717,0.0469000004231929,0.0397000014781951,0.1982000023126602,0.1220000013709068,0.1112999990582466,0.0562000013887882,0.0590999983251094,0.1199999973177909,0.0861999988555908,0.1119000017642974,0.1190999969840049,0.093199998140335,0.0908999964594841,0.0940999984741211,0.1821999996900558,0.1212000027298927,0.1010999977588653,11.306027,12.118164,15.324944,1.7509681
Belgium,0.3503000140190124,0.0305000003427267,0.0456000007688999,0.0891999974846839,0.048700001090765,0.0688999965786933,0.0588000006973743,0.0408999994397163,0.2671999931335449,0.6786999702453613,0.0236000008881092,0.026300000026822,0.1180000007152557,0.0296000000089406,0.0357000008225441,0.0302000008523464,0.0307999998331069,0.0269000008702278,0.0586999990046024,0.0632999986410141,0.0820999965071678,0.0864000022411346,0.0485000014305114,0.0518999993801116,0.4679999947547912,0.0851999968290329,0.0557999983429908,27.217764,2.0421777,-6.417663,20.580276
Bulgaria,0.0769999995827674,0.321399986743927,0.0362999998033046,0.0428000018000602,0.1055999994277954,0.0557999983429908,0.0340000018477439,0.0715000033378601,0.2556000053882599,0.5979999899864197,0.0759999975562095,0.0308999996632337,0.0388000011444091,0.0857999995350837,0.0463000014424324,0.0546000003814697,0.0419000014662742,0.0276999995112419,0.0320999994874,0.6449000239372253,0.0570000000298023,0.0432999990880489,0.0286999996751546,0.0333000011742115,0.0557999983429908,0.0724999979138374,0.0322999991476535,36.921616,-12.064033,-4.48932,19.70006
Czechia,0.0292000006884336,0.0595999993383884,0.0285000000149011,0.0320999994874,0.6470999717712402,0.0346000008285045,0.0364999994635582,0.0504000000655651,0.0820000022649765,0.0395999997854232,0.0342000015079975,0.0249000005424022,0.0296000000089406,0.7559999823570251,0.0373000018298625,0.0270000007003545,0.0293000005185604,0.0221999995410442,0.0238000005483627,0.7588000297546387,0.0153999999165534,0.0322000011801719,0.0666999965906143,0.0256999991834163,0.0178999993950128,0.0438000001013278,0.0156999994069337,44.789547,-33.12809,-3.730447,20.323746
Cyprus,0.0857999995350837,0.0601000003516674,0.049100000411272,0.0690999999642372,0.0614000000059604,0.3352999985218048,0.050900001078844,0.0489000007510185,0.2392999976873397,0.1608999967575073,0.0520999990403652,0.0478999987244606,0.0579999983310699,0.1061000004410743,0.3971000015735626,0.052700001746416,0.045499999076128,0.0797000005841255,0.0825000032782554,0.1641000062227249,0.1107999980449676,0.0970000028610229,0.0813999995589256,0.1195999979972839,0.1466999948024749,0.1030000001192092,0.095100000500679,7.556739,-6.5018196,15.882651,1.2490501
Germany,0.0516000017523765,0.0450999997556209,0.0313000008463859,0.0798000022768974,0.0445000007748603,0.0469999983906745,0.0428999997675418,0.0467000007629394,0.6110000014305115,0.2966000139713287,0.0274999998509883,0.0210999995470047,0.1977999955415725,0.0788000002503395,0.0839999988675117,0.0390999987721443,0.0368000008165836,0.218199998140335,0.0832000002264976,0.13230000436306,0.0874999985098838,0.0953999981284141,0.0759999975562095,0.0839999988675117,0.2312999963760376,0.1037999987602233,0.1067000031471252,-0.933346,18.783188,17.411325,0.7311917
Denmark,0.0469999983906745,0.0544000007212162,0.0384999997913837,0.0872000008821487,0.0568999983370304,0.0663999989628791,0.0571999996900558,0.0604999996721744,0.5318999886512756,0.163000002503395,0.0410000011324882,0.05180000141263,0.0771000012755394,0.0944000035524368,0.1448999941349029,0.0513000003993511,0.0430000014603138,0.3336000144481659,0.046399999409914,0.1597000062465667,0.1074000000953674,0.0639000013470649,0.0531999990344047,0.0648000016808509,0.1997999995946884,0.1656000018119812,0.1393000036478042,-1.3839719,10.481959,17.660501,0.28466183
Estonia,0.0610000006854534,0.0362999998033046,0.4305999875068664,0.048200000077486,0.0957999974489212,0.0715999975800514,0.046799998730421,0.0395000018179416,0.1702000051736831,0.1318999975919723,0.0419999994337558,0.2660000026226043,0.0746000036597251,0.191100001335144,0.1326999962329864,0.0372000001370906,0.0443999990820884,0.0802000015974044,0.0263999998569488,0.1961999982595443,0.5447999835014343,0.033900000154972,0.0284000001847744,0.0346000008285045,0.0515000000596046,0.0564000010490417,0.0277999993413686,-22.30733,-5.526249,19.373138,-0.29268816
Croatia,0.0781999975442886,0.0982000008225441,0.0560000017285347,0.0703999996185302,0.149399995803833,0.1222999989986419,0.0529000014066696,0.1296000033617019,0.2431000024080276,0.3016000092029571,0.0491999983787536,0.050900001078844,0.0562000013887882,0.1176000013947486,0.2170999944210052,0.0469000004231929,0.0852999985218048,0.0750999972224235,0.0353999994695186,0.163100004196167,0.048599999397993,0.0493000000715255,0.0449000000953674,0.0430000014603138,0.0584000013768672,0.5202000141143799,0.0370000004768371,30.784359,19.165405,-5.576898,20.335451
Finland,0.0524000003933906,0.050900001078844,0.1469999998807907,0.0445999987423419,0.0566000007092952,0.0577000007033348,0.0639000013470649,0.0524999983608722,0.4745000004768371,0.1200999990105629,0.0557000003755092,0.0925000011920929,0.0588000006973743,0.1367000043392181,0.1106000021100044,0.0502999983727932,0.0564999990165233,0.3188999891281128,0.0505999997258186,0.1410000026226043,0.2213000059127807,0.069700002670288,0.0511999987065792,0.0579000003635883,0.1477999985218048,0.1516000032424926,0.1089000031352043,-5.410185,2.3125484,18.074821,0.43557578
