country,Energy policy development,Consumption and impact,Fuel consumption and prices,Climate investment policies,energy efficiency policy,Investment plans for climate change,Climate change policy,Renewable energy investment,c1,c2,u1,u2
Austria,0.1497000008821487,0.1156999990344047,0.1035000011324882,0.1103999987244606,0.1089000031352043,0.1512999981641769,0.1542000025510788,0.1062999963760376,26.12251,11.420874,0.36909857,10.937109
Belgium,0.1001999974250793,0.2885999977588653,0.0834999978542327,0.164900004863739,0.0986000001430511,0.0925000011920929,0.0828000009059906,0.0888999998569488,-109.09067,-57.21073,2.7803564,11.458319
Bulgaria,0.0763000026345253,0.068800002336502,0.1075000017881393,0.276199996471405,0.0751999989151954,0.0861999988555908,0.0861999988555908,0.2234999984502792,-28.868021,-50.16054,1.7235264,11.624141
Czechia,0.4688999950885772,0.0584000013768672,0.0750000029802322,0.1039000004529953,0.061999998986721,0.0820000022649765,0.0877000018954277,0.061999998986721,118.82963,-46.44128,-0.041414667,12.249194
Cyprus,0.0337999984622001,0.032999999821186,0.050500001758337,0.0355999991297721,0.732699990272522,0.0331999994814395,0.0355999991297721,0.045499999076128,23.30663,125.22995,-0.89762795,10.336513
Germany,0.0935000032186508,0.0886000022292137,0.1440999954938888,0.1058999970555305,0.0910999998450279,0.1446000039577484,0.2547999918460846,0.0773999989032745,106.26684,70.831924,-1.3039175,11.550838
Denmark,0.1340000033378601,0.1071000024676323,0.1102999970316886,0.1270000040531158,0.1186000034213066,0.154799997806549,0.1335999965667724,0.1146000027656555,0.59458625,27.538885,0.47238386,10.300804
Estonia,0.0737000033259391,0.217299997806549,0.09009999781847,0.1290999948978424,0.0881000012159347,0.2612000107765198,0.0763999968767166,0.0641999989748001,-79.97588,32.686474,1.0440137,9.271265
Croatia,0.1444000005722046,0.1189000010490417,0.1110000014305114,0.1018999963998794,0.121799997985363,0.1457999944686889,0.1395999938249588,0.1167000010609626,28.144056,45.285534,-0.28361496,10.532485
Finland,0.0979999974370002,0.1064999997615814,0.131300002336502,0.0986000001430511,0.1132000014185905,0.2337999939918518,0.1111000031232833,0.1075000017881393,-45.327934,61.144165,0.52233315,9.216619
France,0.1080999970436096,0.1309999972581863,0.0917999967932701,0.164900004863739,0.1146999970078468,0.147599995136261,0.1127000004053115,0.1291999965906143,-18.082796,-6.38998,1.1888897,10.829659
Malta,0.0408000014722347,0.0432999990880489,0.0688999965786933,0.0406000018119812,0.0763999968767166,0.0368999987840652,0.0423999987542629,0.650600016117096,-140.1972,103.784874,1.2057927,8.744579
Luxembourg,0.0803000032901763,0.2016000002622604,0.1061000004410743,0.0621999986469745,0.1220000013709068,0.1054999977350235,0.2250999957323074,0.0971999987959861,69.019745,87.41215,-1.2786834,11.029554
Lithuania,0.0610000006854534,0.4422000050544739,0.1336999982595443,0.0790000036358833,0.0714000016450882,0.0728000029921531,0.0707999989390373,0.0692000016570091,-141.20328,-92.75582,3.348109,11.405671
Latvia,0.0838000029325485,0.3600000143051147,0.1190000027418136,0.0696000009775161,0.1046999990940094,0.0817999988794326,0.099200002849102,0.0819000005722045,-143.99973,-61.280018,3.1837714,11.584886
Italy,0.5112000107765198,0.0582000017166137,0.0965000018477439,0.0590000003576278,0.0737999975681305,0.0612000003457069,0.0608999989926815,0.0791999995708465,120.802986,-72.40091,0.36082378,12.546641
Ireland,0.0553000010550022,0.0636000037193298,0.068800002336502,0.0745000019669532,0.0829999968409538,0.0991000011563301,0.0658999979496002,0.4896999895572662,-147.48041,79.99484,1.4620403,9.014297
Hungary,0.0874999985098838,0.2685000002384186,0.1331000030040741,0.0648000016808509,0.1010999977588653,0.0891999974846839,0.0961999967694282,0.1597999930381775,-130.73125,-30.14316,2.9948533,11.040088
Greece,0.1554999947547912,0.0888999998569488,0.101000003516674,0.2029000073671341,0.1125999987125396,0.1049999967217445,0.1343999952077865,0.0996999964118003,12.143508,-31.793083,1.0424042,11.712242
Spain,0.1779000014066696,0.1279000043869018,0.120399996638298,0.1002999991178512,0.1387999951839447,0.1133999973535537,0.123999997973442,0.0971999987959861,58.097965,12.220512,-0.10796399,11.350366
Netherlands,0.092299997806549,0.0841000005602836,0.0917000025510788,0.0863000005483627,0.1333000063896179,0.1381999999284744,0.2888000011444092,0.0854000002145767,119.78469,43.11698,-0.979369,11.766724
Poland,0.0277999993413686,0.0255999993532896,0.8019000291824341,0.0276999995112419,0.0361000001430511,0.0230999998748302,0.0266999993473291,0.0310999993234872,39.427597,-111.07306,1.1753227,12.436063
Portugal,0.0450999997556209,0.0430999994277954,0.0449000000953674,0.6847000122070312,0.0483000017702579,0.0439999997615814,0.0428000018000602,0.0471000000834465,-30.061134,-88.12005,1.6655136,12.135499
Romania,0.2311999946832656,0.0833000019192695,0.0872000008821487,0.1791000068187713,0.0732999965548515,0.1296000033617019,0.1053000018000602,0.1111000031232833,48.591007,-37.004288,0.74313515,11.998263
Sweden,0.0980999991297721,0.099200002849102,0.1076000034809112,0.1494999974966049,0.1152999997138977,0.1826999932527542,0.1489000022411346,0.0988000035285949,-31.407515,25.462511,0.8247377,9.740805
Slovenia,0.1436000019311905,0.1324999928474426,0.1370999962091446,0.0967999994754791,0.1002999991178512,0.1088000014424324,0.1976999938488006,0.0830999985337257,68.08278,49.226208,-0.86944276,11.246489
Slovakia,0.1208000034093856,0.0828000009059906,0.1732999980449676,0.0929000005125999,0.0970999971032142,0.2045000046491623,0.1177999973297119,0.1108999997377395,-11.788421,68.42721,0.18125866,9.544402
