country,11,12,13,14,15,total
Spain,8.7,1.0,8.3,0.0,3.1,21.1
Luxembourg,9.9,0.0,0.0,7.5,1.1,18.5
Sweden,8.3,1.0,4.3,0.0,3.6,17.1
Netherlands,1.5,1.0,4.5,6.4,3.1,16.4
Estonia,1.5,1.0,10.1,0.0,3.1,15.7
Denmark,1.5,0.0,7.6,0.0,3.3,12.5
Portugal,1.5,1.0,5.1,0.0,2.9,10.5
France,1.5,1.0,0.0,3.9,4.0,10.4
Croatia,1.5,0.0,7.3,0.0,1.6,10.3
Latvia,1.5,1.0,0.0,2.8,3.6,8.9
EU28 AVERAGE,2.2,0.5,1.7,0.9,2.0,7.3
Germany,1.5,1.0,0.0,2.8,1.3,6.6
Lithuania,1.5,1.0,0.0,0.0,2.9,5.4
Austria,1.5,0.0,0.0,2.2,1.6,5.3
Czech Republic,1.5,1.0,0.0,0.0,2.4,4.9
Hungary,1.5,1.0,0.0,0.0,2.0,4.5
Ireland,1.5,1.0,0.0,0.0,1.6,4.1
Romania,1.5,1.0,0.0,0.0,1.6,4.1
Bulgaria,1.5,0.0,0.0,0.0,1.6,3.1
Greece,1.5,0.0,0.0,0.0,1.6,3.1
United Kingdom,0.0,1.0,0.0,0.0,2.0,3.0
Finland,1.5,0.0,0.0,0.0,1.3,2.8
Italy,1.5,0.0,0.0,0.0,1.1,2.6
Cyprus,1.5,0.0,0.0,0.0,1.1,2.6
Malta,1.5,0.0,0.0,0.0,1.1,2.6
Slovenia,1.5,0.0,0.0,0.0,1.1,2.6
Slovakia,1.5,0.0,0.0,0.0,1.1,2.6
Belgium,1.5,0.0,0.0,0.0,0.7,2.2
Poland,1.5,0.0,0.0,0.0,0.2,1.7
