country,EU Cohesion Policy,Boost EU Cohesion,EU Cohesion Boosted,EU Cohesion Funded
Finland,0.24140000343322754,0.24690000712871552,0.25440001487731934,0.2572000026702881
Cyprus,0.2540999948978424,0.2653999924659729,0.24629999697208405,0.23409999907016754
Hungary,0.25200000405311584,0.23810000717639923,0.2655999958515167,0.24420000612735748
Croatia,0.2524999976158142,0.249099999666214,0.24899999797344208,0.2493000030517578
Ireland,0.2502000033855438,0.24130000174045563,0.251800000667572,0.25679999589920044
Belgium,0.2442999929189682,0.2542000114917755,0.2451999932527542,0.2563999891281128
Lithuania,0.25589999556541443,0.25540000200271606,0.23680000007152557,0.25189998745918274
Denmark,0.24940000474452972,0.2460000067949295,0.24889999628067017,0.2556000053882599
Spain,0.24050000309944153,0.2460000067949295,0.25429999828338623,0.25929999351501465
Slovakia,0.25099998712539673,0.23919999599456787,0.2615000009536743,0.24819999933242798
Greece,0.2572999894618988,0.26919999718666077,0.2362000048160553,0.23729999363422394
Malta,0.2540000081062317,0.2671000063419342,0.23849999904632568,0.24040000140666962
Germany,0.24529999494552612,0.2378000020980835,0.25529998540878296,0.26159998774528503
Austria,0.2483000010251999,0.2549999952316284,0.25040000677108765,0.24629999697208405
Luxembourg,0.24719999730587006,0.24650000035762787,0.2515999972820282,0.2547000050544739
France,0.2533000111579895,0.24390000104904175,0.2531000077724457,0.24969999492168427
Estonia,0.24709999561309814,0.25029999017715454,0.2533999979496002,0.2492000013589859
Italy,0.2538999915122986,0.26269999146461487,0.23669999837875366,0.2467000037431717
Sweden,0.25270000100135803,0.24560000002384186,0.24969999492168427,0.25189998745918274
Slovenia,0.24979999661445618,0.24609999358654022,0.2572000026702881,0.24690000712871552
